Dataset,Neural network,Labeling Algorithm,Epochs,Train acc,Test acc,Execution time (in mins)
ModCloth,Resnet20,snorkel,30,0.8828787207603455,0.8040000200271606,45.530881921450295
ModCloth,Resnet20,triplet,30,0.9363573789596558,0.8740000128746033,45.658153351147966
Amazon Video,Resnet20,snorkel,30,0.9579249620437622,0.8759999871253967,89.47005138397216
Amazon fashion,Resnet20,snorkel,30,0.961564600467682,0.8880000114440918,178.62738318045933
Amazon Video,Resnet20,triplet,30,0.9694650173187256,0.8420000076293945,44.03574664990107
Amazon fashion,Resnet20,triplet,30,0.9497338533401488,0.8539999723434448,208.77602513233822
